Designator,Mid X,Mid Y,Layer,Rotation
C6,58.209314,-43.450000,Bottom,180.000000
C7,58.209314,-40.950000,Bottom,180.000000
C14,64.229314,-51.200000,Bottom,180.000000
C15,64.204314,-49.700000,Bottom,180.000000
C16,67.954314,-38.200000,Bottom,0.000000
C17,71.409314,-41.700000,Bottom,180.000000
C18,71.409314,-44.200000,Bottom,180.000000
C19,72.164314,-36.950000,Bottom,180.000000
C20,72.184314,-35.950000,Bottom,180.000000
C21,71.184314,-51.270000,Bottom,-90.000000
C30,71.184314,-49.270000,Bottom,-90.000000
D1,65.434314,-40.950000,Bottom,180.000000
D2,65.284314,-44.950000,Bottom,0.000000
J1,82.469314,-53.200000,Bottom,-90.000000
J2,59.009314,-54.625000,Bottom,90.000000
J4,81.184314,-64.800000,Bottom,180.000000
L1,79.664314,-37.700000,Bottom,0.000000
R2,62.714314,-35.200000,Bottom,180.000000
R3,62.684314,-34.200000,Bottom,180.000000
R4,62.694314,-33.200000,Bottom,180.000000
R5,72.174314,-32.950000,Bottom,180.000000
R6,72.164314,-33.950000,Bottom,180.000000
R7,72.174314,-34.950000,Bottom,0.000000
U2,67.524314,-34.980000,Bottom,0.000000
U3,68.434314,-50.500000,Bottom,180.000000
C1,79.454314,-56.450000,Top,180.000000
C2,83.184314,-41.720000,Top,90.000000
C3,69.704314,-35.700000,Top,180.000000
C4,63.639314,-58.455000,Top,180.000000
C5,65.619314,-58.455000,Top,180.000000
C8,80.934314,-55.470000,Top,-90.000000
C9,64.204314,-50.200000,Top,180.000000
C10,82.204314,-40.200000,Top,0.000000
C11,81.934314,-55.470000,Top,-90.000000
C12,68.434314,-56.970000,Top,-90.000000
C13,64.204314,-51.200000,Top,180.000000
C22,68.204314,-58.700000,Top,180.000000
C23,63.664314,-46.200000,Top,180.000000
C24,64.204314,-49.200000,Top,0.000000
C25,72.204314,-59.700000,Top,180.000000
C26,64.184314,-45.200000,Top,180.000000
C27,64.184314,-43.700000,Top,180.000000
C28,66.934314,-38.930000,Top,-90.000000
C29,78.684314,-58.470000,Top,-90.000000
D3,81.434314,-66.200000,Top,90.000000
D4,82.934314,-66.200000,Top,90.000000
D5,84.434314,-66.200000,Top,90.000000
J3,88.509314,-54.250000,Top,90.000000
J5,59.009314,-43.200000,Top,-90.000000
J6,88.509314,-43.350000,Top,90.000000
J7,59.009314,-53.125000,Top,-90.000000
R1,77.944314,-35.700000,Top,0.000000
R8,62.184314,-47.450000,Top,180.000000
R9,64.164314,-47.200000,Top,180.000000
R10,73.934314,-58.710000,Top,-90.000000
R11,74.934314,-58.710000,Top,-90.000000
R12,68.934314,-60.700000,Top,0.000000
R13,64.924314,-60.720000,Top,180.000000
R14,85.174314,-47.200000,Top,0.000000
R15,76.944314,-37.950000,Top,0.000000
R16,82.184314,-38.710000,Top,-90.000000
R17,80.934314,-38.700000,Top,-90.000000
R18,84.194314,-44.700000,Top,0.000000
R19,85.184314,-48.200000,Top,0.000000
R20,81.434314,-63.700000,Top,90.000000
R21,82.934314,-63.690000,Top,90.000000
R22,84.434314,-63.710000,Top,90.000000
R23,80.684314,-59.690000,Top,-90.000000
SW1,74.184314,-34.850000,Top,180.000000
SW2,81.934314,-34.850000,Top,180.000000
U1,73.934314,-47.200000,Top,0.000000
U4,71.434314,-57.710000,Top,0.000000
U5,76.934314,-58.450000,Top,0.000000
U6,74.071814,-66.400000,Top,0.000000
USB1,66.684314,-64.367500,Top,0.000000
Y1,64.534314,-56.200000,Top,0.000000
